,Unnamed: 0,Unnamed: 0.1,R1,G1,B1,R2,G2,B2,DELTA_E,SIMILARITY
0,0,0,205,46,52,121,135,178,38.653991081866025,1
1,1,1,85,88,113,221,146,72,45.00204569267128,1
2,2,2,41,40,45,71,104,110,24.07906850520161,1
3,3,3,243,173,20,65,69,70,54.6952146214159,0
4,4,4,59,58,61,192,37,41,31.217489673435196,1
5,5,5,50,41,43,239,203,9,72.46595865607719,1
6,6,6,175,31,41,166,153,189,40.08112708710078,1
7,7,7,207,112,132,148,163,214,29.926070907099053,1
8,8,8,234,76,41,218,121,70,10.996631959725564,0
9,9,9,51,51,53,135,171,209,47.241801710430096,0
10,10,10,105,199,119,116,35,38,73.09068144694099,1
11,11,11,84,142,119,137,202,221,25.588409041929765,1
12,12,12,163,215,62,168,54,33,65.3007295974501,0
13,13,13,182,178,184,138,144,164,12.738127521295107,1
14,14,14,120,104,62,66,86,116,32.21223420890645,0
15,15,15,45,60,130,169,9,23,39.67689855443865,0
16,16,16,85,138,194,159,207,203,28.143712369413162,0
17,17,17,107,41,47,129,33,37,6.552221944519923,0
18,18,18,57,132,175,39,32,33,39.89484879493372,0
19,19,19,201,36,38,132,98,119,25.913467737694287,0
20,20,20,27,205,43,35,31,72,72.02858426128965,0
21,21,21,164,31,57,153,163,180,43.35133975260757,0
22,22,22,166,68,84,126,168,146,51.1090501034959,0
23,23,23,129,206,127,202,41,55,70.54294073476454,0
24,24,24,196,48,162,77,74,75,30.311065779892964,0
25,25,25,96,99,109,18,74,141,19.325836247448613,0
26,26,26,129,153,176,110,123,110,20.519716825314397,0
27,27,27,213,35,47,181,107,118,17.745898841247236,0
28,28,28,24,57,112,22,32,119,9.308897896691928,0
29,29,29,129,153,176,30,104,67,35.8560124590362,0
30,30,30,188,3,24,34,32,29,34.450164136598964,0
31,31,31,37,32,34,44,42,43,3.6832942722841033,0
32,32,32,202,107,112,58,116,70,52.808416087265726,0
33,33,33,230,74,15,61,72,94,43.150353660421494,1
34,34,34,15,118,75,26,135,111,9.219633493776636,1
35,35,35,81,62,144,215,187,9,75.75890745867207,0
36,36,36,69,94,148,54,91,72,29.923114654584946,1
37,37,37,106,108,113,52,145,178,21.595690485646614,0
38,38,38,116,131,119,91,158,203,24.439501627220732,0
39,39,39,147,116,151,139,139,145,16.582387305132784,1
40,40,40,178,177,183,56,53,55,49.05991734662234,0
41,41,41,245,217,58,221,211,97,6.686892170624606,1
42,42,42,200,203,110,197,19,47,59.46390102048127,0
43,43,43,20,86,81,164,170,175,40.337380920610094,1
44,44,44,46,65,117,42,83,149,7.535513443479995,1
45,45,45,226,132,27,144,104,111,32.50339425279557,0
46,46,46,57,164,100,69,51,53,50.23322638505914,1
47,47,47,73,83,161,222,170,61,62.207711303947754,1
48,48,48,122,175,215,50,36,37,55.26868934350054,1
49,49,49,20,123,60,38,40,45,35.37794210402094,1
50,50,50,235,146,180,134,104,67,37.45659436648983,1
51,51,51,202,17,48,47,50,51,33.51362808164841,1
52,52,52,85,138,194,83,43,45,42.75252451919096,1
53,53,53,150,163,102,36,36,35,48.152623317292864,1
54,54,54,47,86,122,33,32,35,22.69021326612462,1
55,55,55,125,36,43,87,63,120,26.25145055771413,0
56,56,56,186,16,49,29,147,89,70.05783482023088,0
57,57,57,64,56,110,65,64,61,23.35092502375359,1
58,58,58,190,95,100,79,16,106,36.42248740001179,0
59,59,59,36,46,44,49,87,124,21.37711158334753,1
60,60,60,26,135,111,39,65,131,39.29184467483435,0
61,61,61,122,37,56,50,140,100,59.707141064599284,1
62,62,62,226,211,33,122,175,215,53.25316783786828,1
63,63,63,34,148,94,142,189,229,38.32440116674113,1
64,64,64,8,146,170,76,67,59,35.73810419584607,1
65,65,65,112,111,117,231,136,113,30.008984861760936,1
66,66,66,110,109,110,200,158,73,31.18498851742638,1
67,67,67,130,59,85,30,73,127,29.94378044399412,1
68,68,68,38,59,129,50,48,108,6.005970966832442,0
69,69,69,222,202,119,231,95,137,50.91581737305891,0
70,70,70,28,73,150,49,49,52,23.8897765375496,1
71,71,71,122,18,31,194,126,66,36.564971148123284,0
72,72,72,185,38,47,125,156,195,45.83962403603056,1
73,73,73,120,55,104,72,131,71,59.99032323729785,1
74,74,74,48,118,74,191,12,38,61.19109077499132,1
75,75,75,208,24,49,189,222,74,69.69834121535628,1
76,76,76,49,59,98,144,147,157,34.678980396241684,1
77,77,77,236,87,25,167,33,38,23.12088251715797,1
78,78,78,51,32,30,52,43,34,8.455043657591258,0
79,79,79,133,214,9,83,36,53,80.6600360979488,0
80,80,80,126,158,39,58,52,57,47.81056285192043,1
81,81,81,39,37,42,58,67,195,30.656873416097607,1
82,82,82,50,80,118,42,41,45,19.103314876635114,1
83,83,83,237,192,121,81,62,144,66.14748949718225,0
84,84,84,243,65,12,196,117,130,23.618150907794572,1
85,85,85,208,19,24,58,88,110,43.3233466966562,0
86,86,86,57,172,170,46,45,42,47.01767467604124,1
87,87,87,104,165,212,190,29,42,53.085143061577156,1
88,88,88,224,107,86,48,47,52,43.04685269038917,1
89,89,89,54,53,56,104,198,80,56.98956212381471,1
90,90,90,145,112,39,230,49,26,30.62919804298714,1
91,91,91,40,77,131,20,18,21,26.584211571460038,1
92,92,92,157,182,190,93,40,41,58.54982954780146,0
93,93,93,47,73,132,12,138,83,44.062716485776576,1
94,94,94,68,68,85,44,84,63,24.911599382829717,1
95,95,95,63,145,198,53,53,49,38.67631449603591,0
96,96,96,202,209,131,181,53,60,56.608987699598636,1
97,97,97,185,178,178,84,63,101,45.60116673086501,1
98,98,98,200,203,110,170,34,40,59.37953168072129,1
99,99,99,67,101,84,106,47,95,33.58175101436867,1
100,100,100,49,125,100,53,44,62,38.56519394411113,1
101,101,101,105,62,74,30,38,41,26.211486865205426,1
102,102,102,71,104,110,180,58,66,40.25620969252258,0
103,103,103,122,122,123,107,156,205,20.969114862034626,1
104,104,104,197,23,22,44,63,116,42.06989504093273,1
105,105,105,177,177,179,49,50,53,49.88109765847611,1
106,106,106,217,173,179,11,152,78,50.49061435203413,1
107,107,107,219,39,65,46,76,111,42.81945722182885,1
108,108,108,57,76,71,30,30,35,18.233542981142726,1
109,109,109,77,135,166,145,235,56,54.159185685286076,0
110,110,110,51,32,30,202,37,53,31.51172531750863,1
111,111,111,98,200,45,46,72,138,68.2653733761676,1
112,112,112,147,34,38,16,69,150,38.64435297412797,1
113,113,113,197,89,120,109,32,40,24.850606540527572,1
114,114,114,85,155,184,147,133,138,30.28727822421909,0
115,115,115,226,211,33,189,47,50,59.54368801006694,1
116,116,116,223,193,20,182,61,28,47.745447355406675,1
117,117,117,170,82,96,72,131,71,53.76200529397835,1
118,118,118,85,155,184,110,29,34,56.30425750230154,1
119,119,119,215,34,48,101,47,75,28.217410814989233,1
