NAMA,PAKET,HARGA,DESKRIPSI_FASILITAS,ALAMAT,KOTA,LATITUDE,LONGITUDE
Puri Matahari Rias Pengantin,Paket Rumah A,IDR 19.500.000,"Rias Make Up dan Busana Akad serta resepsi Pengantin 3 Pasang Busana,  Rias Make Up dan Busana Ibu Pengantin 2 orang, Rias Make Up dan Busana Pager Ayu 4 Orang, Rias Make Up dan Busana Penjaga Meja Prasmanan 2 Orang, Busana Bapak Pengantin 2, Tenda Balon + Lampu 80m2, Kursi Futura 100 pcs, Dekorasi Pelaminan 1 Set, Meja Prasmanan 1 Set, Piring + Garpu + Sendok 150 Set, Pemanas Lauk Besar 6 pcs, Gubukan 2 Set, Meja Tamu 2 pcs, Kotak Angpau 2 pcs, Pergola Gerbang 1 Set, Fotografi 1 Album Kolase, Pigura, File in DVD, Video Shooting in DVD, Mp4 in DVD, Blower Cooling Fan 1, Janur Kuning 1, Janur kecil 2, Buku Tamu+Spidol 2 pcs, Bunga Meja Tamu 2 pcs, Kalung Melati Pengantin Pria 1 pcs","Jl. Asem IV 6-4, Asem Rowo, Kec. Asemrowo,  Jawa Timur 60182",Surabaya,-7.251039,112.713144
Puri Matahari Rias Pengantin,Paket Rumah B,IDR 16.500.000,"Rias Make Up dan Busana Akad serta resepsi Pengantin 3 Pasang Busana,  Rias Make Up dan Busana Ibu Pengantin 2 orang, Rias Make Up dan Busana Pager Ayu 4 Orang, Rias Make Up, Busana Bapak Pengantin 2, Tenda Balon + Lampu 50m2, Kursi Futura 100 pcs, Dekorasi Pelaminan 1 Set, Meja Prasmanan 1 Set, Piring + Garpu + Sendok 150 Set, Pemanas Lauk Besar 6 pcs, Gubukan 2 Set, Meja Tamu 2 pcs, Kotak Angpau 2 pcs, Pergola Gerbang 1 Set, Blower Cooling Fan 1, Janur kecil 2, Buku Tamu+Spidol 2 pcs, Bunga Meja Tamu 2 pcs, Kalung Melati Pengantin Pria 1 pcs","Jl. Asem IV 6-4, Asem Rowo, Kec. Asemrowo,  Jawa Timur 60183",Surabaya,-7.251039,112.713144
Puri Matahari Rias Pengantin,Paket Rumah C,IDR 13.500.000,"Rias Make Up dan Busana Akad serta resepsi Pengantin 2 Pasang Busana,  Rias Make Up dan Busana Ibu Pengantin 2 orang, Rias Make Up dan Busana Pager Ayu 4 Orang, Rias Make Up, Busana Bapak Pengantin 2, Tenda Serut + Lampu 50m2, Kursi Futura 100 pcs, Dekorasi Pelaminan 1 Set, Meja Prasmanan 1 Set, Piring + Garpu + Sendok 150 Set, Pemanas Lauk Besar 6 pcs, Gubukan 2 Set, Meja Tamu 2 pcs, Kotak Angpau 2 pcs, Pergola Gerbang 1 Set, Janur kecil 2, Buku Tamu+Spidol 2 pcs, Bunga Meja Tamu 2 pcs, Kalung Melati Pengantin Pria 1 pcs","Jl. Asem IV 6-4, Asem Rowo, Kec. Asemrowo,  Jawa Timur 60184",Surabaya,-7.251039,112.713144
Puri Matahari Rias Pengantin,Paket Gedung A,IDR 18.500.000,"Rias Make Up dan Busana Akad serta resepsi Pengantin 2 Pasang Busana,  Rias Make Up dan Busana Ibu Pengantin 2 orang, Rias Make Up dan Busana Pager Ayu 4 Orang, Rias Make Up, Busana Bapak Pengantin 2, Rias Makeup dan Busana Keluarga 2 Orang, Dekorasi Pelaminan <12m 1 Set, Dekorasi Miniatur Taman 1 Set, Karpet Jalan 1 Set, Dekorasi Standing Flower 6 pcs, Kotak Angpau 2 pcs, Dekorasi Gazebo Pintu Masuk, 1 Set, Foto 1 Album Kolase, Pigura, File DVD, Video Shooting + DVD, Janur Kuning 1 pcs,  Buku Tamu+Spidol 2 pcs, Bunga Meja Tamu 2 pcs, Kalung Melati Pengantin Pria 1 pcs","Jl. Asem IV 6-4, Asem Rowo, Kec. Asemrowo,  Jawa Timur 60185",Surabaya,-7.251039,112.713144
Puri Matahari Rias Pengantin,Paket Gedung B,IDR 15.500.000,"Rias Make Up dan Busana Akad serta resepsi Pengantin 2 Pasang Busana,  Rias Make Up dan Busana Ibu Pengantin 2 orang, Rias Make Up dan Busana Pager Ayu 4 Orang, Rias Make Up, Busana Bapak Pengantin 2, Dekorasi Pelaminan <8m 1 Set, Dekorasi Miniatur Taman 1 Set, Karpet Jalan 1 Set, Dekorasi Standing Flower 4 pcs, Kotak Angpau 2 pcs, Pergola Gerbang Pintu Masuk 1 Set, Foto 1 Album Kolase, Pigura, File DVD, Video Shooting + DVD, Janur Kuning 1 pcs,  Buku Tamu+Spidol 2 pcs, Bunga Meja Tamu 2 pcs, Kalung Melati Pengantin Pria 1 pcs","Jl. Asem IV 6-4, Asem Rowo, Kec. Asemrowo,  Jawa Timur 60186",Surabaya,-7.251039,112.713144
Puri Matahari Rias Pengantin,Paket Lapangan,IDR 27.000.000,"Pengantin Akad atau Resepsi 3 Busana, Orang Tua Pengantin dan Besan 2 Pasang, Pagar Ayu 4 Orang, Penjaga Meja Prasmanan 2 Orang, Tenda Balon + Lampu 150m2, Kursi Futura 100 pcs, Pelaminan 1 Set, Miniatur Taman 4m, Karpet Jalan 1 Set, Standing Flower 4 Set, Meja Prasmanan 1 Set, Piring+Garpu+Sendok 150 pcs, Pemanan Lauk Rooltop 6 pcs, Gubukan 4 Set, Blower Cooling Fan 2 Unit, Meja Tamu 2 pcs, Kotak Angpau 2 pcs, Gazebo Pintu Masuk 1 Set,  1 Set, Foto 1 Album Kolase, Pigura, File DVD, Video Shooting + DVD, Janur Kuning 1 pcs,  Janur Kecil 2 pcs, Buku Tamu+Spidol 2 pcs, Bunga Meja Tamu 2 pcs, Kalung Melati Pengantin Pria 1 pcs","Jl. Asem IV 6-4, Asem Rowo, Kec. Asemrowo,  Jawa Timur 60187",Surabaya,-7.251039,112.713144
Zulfania Wedding,Paket Rumah Cempaka,IDR 7.000.000,"Dekorasi Pelaminan 4 M + Taman + Panggung + Lampu + Karpet + Bunga asli,  Pelengkung Pintu Masuk / Pregola, 4 Unit Mayang, Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak, Ibu dan Besan + Baju,MC Temu Manten,1 Roll Foto + 1 CD File Foto,2 Tumbang (Tempat Uang)","Baru, Jl. Simo Gn. Bar. Tol II No.6 B, Simomulyo, Kec. Sukomanunggal, Jawa Timur 60181",Surabaya,-7.270632,112.705787
Zulfania Wedding,Paket Rumah Tulip,IDR 10.000.000,"Dekorasi Pelaminan 4-6 M + Taman + Panggung + Lampu + Karpet + Bunga asli,  Pelengkung Pintu Masuk / Pregola, 1 Penjor Pintu Masuk,4 Unit Mayang,Tenda Plavon Putih 3 Unit 4x6 M, Lampu Tenda 3 Unit + Panel,Kursi Plastik 100 Unit,Meja +Taplak 10 Unit,  Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak, Ibu dan Besan + Baju,MC Temu Manten,1 Roll Foto + 1 CD File Foto,2 Tumbang (Tempat Uang)","Baru, Jl. Simo Gn. Bar. Tol II No.6 B, Simomulyo, Kec. Sukomanunggal, Jawa Timur 60182",Surabaya,-7.270632,112.705787
Zulfania Wedding,Paket Rumah Anggrek,IDR 17.000.000,"Dekorasi Pelaminan 6 M + Taman + Panggung + Lampu + Karpet + Bunga asli,  Pelengkung Pintu Masuk / Pregola, 1 Penjor Pintu Masuk,4 Unit Mayang,Tenda Plavon Putih 3 Unit 4x6 M, Lampu Tenda 3 Unit + Panel,Kursi Plastik 100 Unit,Meja +Taplak 10 Unit,  Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak Ibu dan Besan, Baju,Rias Keluarga 2 Orang, MC Temu Manten,1 Roll Foto + 1 CD File Foto,2 Tumbang (Tempat Uang), Sound System","Baru, Jl. Simo Gn. Bar. Tol II No.6 B, Simomulyo, Kec. Sukomanunggal, Jawa Timur 60183",Surabaya,-7.270632,112.705787
Zulfania Wedding,Paket Gedung Gradiel,IDR 13.500.000,"Dekorasi Pelaminan 6M + Taman + Lampu + Karpet + Bunga asli,Pelengkung Pintu Masuk / Pregola,Karpet Jalan,1 Penjor Pintu Masuk,4 Unit Mayang dan Gapura Bunga,Standing Bunga Jalan,Janur Pintu Masuk,2 Tumbang (Tempat Uang), Buku Tamu & Boolpoint,   Rias Pengantin Akad Nikah + Baju,Rias Pengantin Temu Manten & Resepsi + Baju , Rias 4 Kembar Mayang + Baju,Rias 2 Penerima Tamu + Baju,Rias Bapak Ibu dan Besan, MC (Temu Manten - Resepsi), Unlimited Shoot + Cetak 100 Lembar,Shooting Video (Liputan 1 Hari)","Baru, Jl. Simo Gn. Bar. Tol II No.6 B, Simomulyo, Kec. Sukomanunggal, Jawa Timur 60184",Surabaya,-7.270632,112.705787
